4,"No candidate mentioned",1.0,"yes",1.0,"Positive",1.0,"None of the above",0.7039,"","MattFromTexas31","",138,"","","RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …","","2015-08-07 09:54:45 -0700",629697197118861312,"Texas","Central Time (US & Canada)"
8,"No candidate mentioned",1.0,"yes",1.0,"Neutral",1.0,"None of the above",1.0,"","RaulAReyes","",0,"","","Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate","","2015-08-07 09:54:44 -0700",629697192169750528,"New York NY","Eastern Time (US & Canada)"
11,"Donald Trump",1.0,"yes",1.0,"Negative",1.0,"None of the above",1.0,"","jnjsmom","",0,"","","@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate","","2015-08-07 09:54:42 -0700",629697185072988160,"Peoria, IL","Central Time (US & Canada)"
12,"Mike Huckabee",1.0,"yes",1.0,"Positive",1.0,"Foreign Policy",0.652,"","KLWorster","",188,"","","RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","","2015-08-07 09:54:42 -0700",629697184259305472,"Fargo, ND","Central Time (US & Canada)"
15,"Scott Walker",1.0,"yes",1.0,"Positive",1.0,"None of the above",1.0,"","In_Related_News","",215,"","","RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate","","2015-08-07 09:54:42 -0700",629697182828892161,"San Diego, California","Pacific Time (US & Canada)"
16,"Chris Christie",1.0,"yes",1.0,"Negative",1.0,"None of the above",0.6778,"","MDiner92","",0,"","","Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate","","2015-08-07 09:54:41 -0700",629697179515535360,"","Central Time (US & Canada)"
19,"No candidate mentioned",1.0,"yes",1.0,"Negative",1.0,"None of the above",0.6859999999999999,"","LordWhatAMess","",0,"","","reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate","","2015-08-07 09:54:40 -0700",629697176642449408,"","Eastern Time (US & Canada)"
21,"Ted Cruz",1.0,"yes",1.0,"Positive",1.0,"None of the above",1.0,"","rickymcghee","",6,"","","RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","","2015-08-07 09:54:39 -0700",629697171898527744,"fripp island,sc/ southeast ga",""
23,"No candidate mentioned",1.0,"yes",1.0,"Negative",1.0,"None of the above",0.3484,"","hoopsfanatic28f","",404,"","","RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate","","2015-08-07 09:54:39 -0700",629697170476654592,"Lynnwood, WA","Pacific Time (US & Canada)"
26,"Marco Rubio",0.6889,"yes",1.0,"Negative",1.0,"None of the above",1.0,"","America4Aliens","",0,"","","#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.","","2015-08-07 09:54:38 -0700",629697165548482560,"Sydney, New South Wales",""
27,"Scott Walker",1.0,"yes",1.0,"Negative",1.0,"Abortion",1.0,"","mch7576","",19,"","","RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…","","2015-08-07 09:54:38 -0700",629697165128957952,"USA ",""
29,"Donald Trump",1.0,"yes",1.0,"Negative",1.0,"None of the above",1.0,"","OldOne4Sure","",2,"","","RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””","","2015-08-07 09:54:37 -0700",629697162574573568,"Cleveland Texas","Central Time (US & Canada)"
31,"No candidate mentioned",1.0,"yes",1.0,"Negative",1.0,"None of the above",0.6702,"","BMcCluregolf","",0,"","","@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone","","2015-08-07 09:54:36 -0700",629697160142004228,"Green Bay, WI",""
34,"No candidate mentioned",1.0,"yes",1.0,"Neutral",1.0,"None of the above",1.0,"","audreyspizza","",0,"","","#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj","","2015-08-07 09:54:36 -0700",629697156807544833,"Canada","Eastern Time (US & Canada)"
